Raíz verbal quechua;Raíz verbal español;Persona;Número;Tiempo;Conjugación
mikuy;comer;tercera;plural;pasado no exp. progresivo;paykuna mikuchkasqanku
mikuy;comer;cuarta;plural;pasado no exp. progresivo;ñuqayku mikuchkasqaniku
mikuy;comer;primera;singular;pasado no exp. habitual;ñuqa mikuq kasqani
mikuy;comer;segunda;singular;pasado no exp. habitual;qam mikuq kasqanki
mikuy;comer;tercera;singular;pasado no exp. habitual;pay mikuq kasqan
mikuy;comer;cuarta;singular;pasado no exp. habitual;
mikuy;comer;primera;plural;pasado no exp. habitual;ñuqanchik mikuq kasqanchik
mikuy;comer;segunda;plural;pasado no exp. habitual;qamkuna mikuq kasqankichik
mikuy;comer;tercera;plural;pasado no exp. habitual;paykuna mikuq kasqank
mikuy;comer;cuarta;plural;pasado no exp. habitual;ñuqayku mikuq kasqaniku
puri;caminar;primera;singular;presente simple;ñuqa purini
puri;caminar;segunda;singular;presente simple;qam purinki
puri;caminar;tercera;singular;presente simple;pay purin
puri;caminar;cuarta;singular;presente simple;
puri;caminar;primera;plural;presente simple;ñuqanchik purinchik
puri;caminar;segunda;plural;presente simple;qamkuna purinkichik
puri;caminar;tercera;plural;presente simple;paykuna purinku
puri;caminar;cuarta;plural;presente simple;ñuqayku puriniku
puri;caminar;primera;singular;presente progresivo;ñuqa purichkani
puri;caminar;segunda;singular;presente progresivo;qam purichkanki
puri;caminar;tercera;singular;presente progresivo;pay purichkan
puri;caminar;cuarta;singular;presente progresivo;
puri;caminar;primera;plural;presente progresivo;ñuqanchik purichkanchik
puri;caminar;segunda;plural;presente progresivo;qamkuna purichkankichik
puri;caminar;tercera;plural;presente progresivo;paykuna purichkanku
puri;caminar;cuarta;plural;presente progresivo;ñuqayku purichkaniku
puri;caminar;primera;singular;presente habitual;ñuqa puriq kani
puri;caminar;segunda;singular;presente habitual;qam puriq kanki
puri;caminar;tercera;singular;presente habitual;pay puriq mi
puri;caminar;cuarta;singular;presente habitual;
puri;caminar;primera;plural;presente habitual;ñuqanchik puriq kanchik
puri;caminar;segunda;plural;presente habitual;qamkuna puriq kankichik
puri;caminar;tercera;plural;presente habitual;paykuna puriq kanku
puri;caminar;cuarta;plural;presente habitual;ñuqayku puriq kaniku
puri;caminar;primera;singular;pasado experimentado simple;ñuqa purirqani
puri;caminar;segunda;singular;pasado experimentado simple;qam purirqanki
puri;caminar;tercera;singular;pasado experimentado simple;pay purirqan
puri;caminar;cuarta;singular;pasado experimentado simple;
puri;caminar;primera;plural;pasado experimentado simple;ñuqanchik purirqanchik
